ring_id,vertex_id,x,y
0,0,-1.76061e+06,-587460
0,1,-1.76108e+06,-588079
0,2,-1.75909e+06,-590740
0,3,-1.75861e+06,-592418
0,4,-1.75764e+06,-592697
0,5,-1.75763e+06,-593249
0,6,-1.75641e+06,-594154
0,7,-1.75576e+06,-595902
0,8,-1.75531e+06,-596265
0,9,-1.75435e+06,-598496
0,10,-1.75461e+06,-599240
0,11,-1.75374e+06,-600051
0,12,-1.75315e+06,-601901
0,13,-1.75247e+06,-601909
0,14,-1.75113e+06,-603517
0,15,-1.75037e+06,-605123
0,16,-1.75135e+06,-606647
0,17,-1.75005e+06,-607879
0,18,-1.74946e+06,-609795
0,19,-1.74917e+06,-612489
0,20,-1.74851e+06,-614424
0,21,-1.74901e+06,-617304
0,22,-1.74772e+06,-617477
0,23,-1.74664e+06,-619612
0,24,-1.74667e+06,-620509
0,25,-1.74584e+06,-621043
0,26,-1.74579e+06,-623186
0,27,-1.74452e+06,-623506
0,28,-1.74476e+06,-625533
0,29,-1.74304e+06,-627393
0,30,-1.74168e+06,-627459
0,31,-1.7401e+06,-629046
0,32,-1.73849e+06,-628656
0,33,-1.7376e+06,-627060
0,34,-1.73829e+06,-626507
0,35,-1.73792e+06,-624525
0,36,-1.73738e+06,-625045
0,37,-1.73775e+06,-625638
0,38,-1.73741e+06,-627710
0,39,-1.73683e+06,-626304
0,40,-1.73628e+06,-626401
0,41,-1.73551e+06,-625429
0,42,-1.73522e+06,-624094
0,43,-1.73453e+06,-624232
0,44,-1.73341e+06,-623026
0,45,-1.73316e+06,-621865
0,46,-1.73231e+06,-622045
0,47,-1.73227e+06,-620178
0,48,-1.7316e+06,-621275
0,49,-1.73006e+06,-619970
0,50,-1.72817e+06,-620324
0,51,-1.72779e+06,-618662
0,52,-1.72874e+06,-618473
0,53,-1.72963e+06,-619219
0,54,-1.72916e+06,-618188
0,55,-1.72769e+06,-618660
0,56,-1.72919e+06,-617644
0,57,-1.72871e+06,-616208
0,58,-1.72885e+06,-617808
0,59,-1.72764e+06,-618613
0,60,-1.72721e+06,-617910
0,61,-1.72673e+06,-618372
0,62,-1.72659e+06,-617142
0,63,-1.72605e+06,-617296
0,64,-1.72563e+06,-614748
0,65,-1.72624e+06,-615253
0,66,-1.72633e+06,-616265
0,67,-1.72706e+06,-616702
0,68,-1.7263e+06,-614446
0,69,-1.72622e+06,-610572
0,70,-1.72688e+06,-606831
0,71,-1.72767e+06,-604450
0,72,-1.72918e+06,-601639
0,73,-1.73048e+06,-601394
0,74,-1.73159e+06,-599500
0,75,-1.73403e+06,-598587
0,76,-1.73582e+06,-599185
0,77,-1.73831e+06,-597512
0,78,-1.74071e+06,-594035
0,79,-1.74297e+06,-589140
0,80,-1.74345e+06,-586104
0,81,-1.74601e+06,-582611
0,82,-1.74849e+06,-577318
0,83,-1.74945e+06,-576651
0,84,-1.74963e+06,-575751
0,85,-1.75093e+06,-574969
0,86,-1.75195e+06,-574979
0,87,-1.7545e+06,-574297
0,88,-1.75568e+06,-574533
0,89,-1.75887e+06,-573202
0,90,-1.75974e+06,-573864
0,91,-1.75986e+06,-575612
0,92,-1.76171e+06,-575004
0,93,-1.76266e+06,-576468
0,94,-1.76282e+06,-578719
0,95,-1.76057e+06,-580946
0,96,-1.76076e+06,-582657
0,97,-1.76047e+06,-583669
0,98,-1.76093e+06,-584893
Total signed area in input: 9.432032e+08
Total signed area in output: 9.432032e+08
Total areal displacement: 1.500338e+07
