ring_id,vertex_id,x,y
0,0,-1.93235e+06,154548
0,1,-1.93282e+06,156107
0,2,-1.93556e+06,157259
0,3,-1.93661e+06,156978
0,4,-1.93676e+06,156212
0,5,-1.93727e+06,155965
0,6,-1.93811e+06,156269
0,7,-1.93893e+06,154351
0,8,-1.93948e+06,154232
0,9,-1.93997e+06,152511
0,10,-1.93986e+06,151675
0,11,-1.94107e+06,151959
0,12,-1.94189e+06,151766
0,13,-1.9428e+06,152041
0,14,-1.94433e+06,150745
0,15,-1.94463e+06,149644
0,16,-1.94523e+06,148475
0,17,-1.94603e+06,148096
0,18,-1.94614e+06,146834
0,19,-1.94708e+06,146637
0,20,-1.94727e+06,145740
0,21,-1.94709e+06,145173
0,22,-1.94766e+06,143804
0,23,-1.94824e+06,143303
0,24,-1.94804e+06,140643
0,25,-1.94721e+06,140239
0,26,-1.94667e+06,139376
0,27,-1.94634e+06,139380
0,28,-1.94528e+06,138213
0,29,-1.94553e+06,136420
0,30,-1.94671e+06,135785
0,31,-1.94621e+06,134798
0,32,-1.94694e+06,134113
0,33,-1.94669e+06,131858
0,34,-1.94567e+06,130358
0,35,-1.946e+06,128616
0,36,-1.9464e+06,127503
0,37,-1.94556e+06,126548
0,38,-1.94635e+06,126607
0,39,-1.94688e+06,126107
0,40,-1.94793e+06,125767
0,41,-1.94775e+06,124914
0,42,-1.94682e+06,125155
0,43,-1.94527e+06,126544
0,44,-1.94564e+06,125095
0,45,-1.94562e+06,124101
0,46,-1.94433e+06,123098
0,47,-1.9441e+06,123193
0,48,-1.94276e+06,122400
0,49,-1.94124e+06,121832
0,50,-1.94113e+06,121486
0,51,-1.94179e+06,121572
0,52,-1.94187e+06,121250
0,53,-1.94113e+06,121328
0,54,-1.94095e+06,120787
0,55,-1.94067e+06,121308
0,56,-1.94097e+06,121789
0,57,-1.94036e+06,122000
0,58,-1.94033e+06,120752
0,59,-1.94018e+06,122030
0,60,-1.93863e+06,122125
0,61,-1.93712e+06,121974
0,62,-1.93614e+06,122400
0,63,-1.93523e+06,123257
0,64,-1.93496e+06,124939
0,65,-1.93514e+06,126313
0,66,-1.93452e+06,126698
0,67,-1.93497e+06,128130
0,68,-1.93374e+06,128435
0,69,-1.93391e+06,130080
0,70,-1.93335e+06,130378
0,71,-1.93307e+06,132019
0,72,-1.93219e+06,133823
0,73,-1.93144e+06,135798
0,74,-1.93169e+06,136195
0,75,-1.93161e+06,137353
0,76,-1.93084e+06,137440
0,77,-1.93064e+06,138185
0,78,-1.93095e+06,139125
0,79,-1.93197e+06,139804
0,80,-1.93077e+06,141676
0,81,-1.93083e+06,142220
0,82,-1.92969e+06,142336
0,83,-1.92983e+06,143386
0,84,-1.92843e+06,144295
0,85,-1.92821e+06,145541
0,86,-1.92794e+06,145931
0,87,-1.92783e+06,147065
0,88,-1.92713e+06,147504
0,89,-1.92663e+06,149467
0,90,-1.92697e+06,149913
0,91,-1.92588e+06,152258
0,92,-1.92622e+06,153123
0,93,-1.92595e+06,153861
0,94,-1.92704e+06,155126
0,95,-1.92831e+06,156025
0,96,-1.92864e+06,156493
0,97,-1.93051e+06,157045
0,98,-1.93177e+06,153998
Total signed area in input: 4.982084e+08
Total signed area in output: 4.982084e+08
Total areal displacement: 8.070631e+06
